cam_abbr,cam_name,angle,category,url,stored_url
lenzerheide_pizscalottas,Piz Scalottas,360,Ski resorts,https://lenzerheide.roundshot.com/pizscalottas/,https://storage.roundshot.com/53aa8fcedea3b9.09671656
lenzerheide_talstation,Talstation,360,Ski resorts,https://lenzerheide.roundshot.com/talstation/,https://storage.roundshot.com/54788dfab13ae0.67443619
lenzerheide_urdenfuerggli,Urdenfuerggli,360,Ski resorts,https://lenzerheide.roundshot.com/urdenfuerggli/,https://storage.roundshot.com/53aa8f32c64ec5.88423204
tlml,Kuklos,360,Ski resorts,https://tlml.roundshot.com/,https://storage.roundshot.com/53ce6a73d7cc75.56101023
lesmosses,Les Mosses,360,Ski resorts,https://lesmosses.roundshot.com/,https://storage.roundshot.com/5421713e33b861.96403086
leysin_snowpark,Snowpark,360,Ski resorts,https://leysin.roundshot.com/snowpark/,https://storage.roundshot.com/6179095573e5e4.86764249
leysin_tobogganing-park,Tobogganing Park,360,Ski resorts,https://leysin.roundshot.com/tobogganing-park/,https://storage2.roundshot.com/5ce652547ae320.15727700
mob_rochersdenaye,Rochers de Naye,360,Ski resorts,https://mob.roundshot.com/rochersdenaye/,https://storage2.roundshot.com/54ef421ae3cdd3.25550945
gryon,Gryon - Frience,360,Ski resorts,https://gryon.roundshot.com/,https://storage.roundshot.com/5c8b93d5aba0d7.56437659
marbachegg,Marbachegg,360,Ski resorts,https://marbachegg.roundshot.com/,https://storage2.roundshot.com/59bf8d45e99462.32929904
alpentower,Meiringen Hasliberg - Alpen Tower,360,Ski resorts,https://alpentower.roundshot.com/,https://storage2.roundshot.com/564f0328b9b989.00509554
kaeserstatt,Meiringen Hasliberg - Käserstatt,360,Ski resorts,https://kaeserstatt.roundshot.com/,https://storage2.roundshot.com/55799ba6e211b2.16310487
maegisalp,Meiringen Hasliberg - Maegisalp,360,Ski resorts,https://maegisalp.roundshot.com/,https://storage2.roundshot.com/53ce59bee8e0e9.48135677
bonistock,Melchsee-Frutt - Bonistock,360,Ski resorts,https://bonistock.roundshot.com/,https://storage.roundshot.com/53ce6d3f058424.34843416
melchseefrutt,Melchsee-Frutt - Dorf,360,Ski resorts,https://melchseefrutt.roundshot.com/,https://storage.roundshot.com/53ce6e2b79e7b2.42704522
torrent,Torrentbahnen,360,Ski resorts,https://torrent.roundshot.com/,https://storage2.roundshot.com/5bf80af25b1206.18312876
nendaz_coldesgentianes,Col des Gentianes,360,Ski resorts,https://nendaz.roundshot.com/coldesgentianes/,https://storage.roundshot.com/618a7f6ae037f9.90574053
nendaz_combatseline,Combatseline,360,Ski resorts,https://nendaz.roundshot.com/combatseline/,https://storage.roundshot.com/5faab4c8b0ed84.74266631
nendaz_greppon-blanc,Greppon Blanc,360,Ski resorts,https://nendaz.roundshot.com/greppon-blanc/,https://storage.roundshot.com/5dfbb49fa06246.31148904
nendaz_lacdetracouet,Lac  de Tracouet,360,Ski resorts,https://nendaz.roundshot.com/lacdetracouet/,https://storage.roundshot.com/606eea4b79d796.97065418
nendaz_plandufou,Plan du Fou,360,Ski resorts,https://nendaz.roundshot.com/plandufou/,https://storage.roundshot.com/5fad43ed0ed751.37998014
nendaz_prarion-balavaud,Prarion-Balavaud,360,Ski resorts,https://nendaz.roundshot.com/prarion-balavaud/,https://storage.roundshot.com/6092ba0ba381e7.61524575
nendaz_siviez,Siviez,360,Ski resorts,https://nendaz.roundshot.com/siviez/,https://storage.roundshot.com/5fb15b552b1798.39341178
nendaz_depart-tracouet,Tracouet Départ,50,Ski resorts,https://nendaz.roundshot.com/depart-tracouet/,https://storage.roundshot.com/5fb15c5ea567b6.53481158
niederhornbahn,Niederhorn,360,Ski resorts,https://niederhornbahn.roundshot.com/,https://storage2.roundshot.com/5a902bcdd01f11.04145516
labrevine,La Brevine,50,Ski resorts,https://labrevine.roundshot.com/,https://storage2.roundshot.com/6086cea0c9da13.51633054
